ID,ACCOUNT_ID,TYPE,AMOUNT,NEW_BALANCE,DESCRIPTION,RELATED_ACCOUNT_ID,CREATED_AT
6f26a442-3c23-404b-b375-cef9bcd55e7f,3ccb1008-f4be-41ac-9548-b8d1405f94e2,OVERDRAFT_FEE,35.0,-35.0,,,2026-09-12T15:39:56.433596
bac76ed2-8f6d-4446-a33e-9f2538341e69,3ccb1008-f4be-41ac-9548-b8d1405f94e2,WITHDRAW,323.0,-358.0,,,2026-09-12T15:39:56.437072
dfc3bd8b-101b-4168-9141-f35018c57d5f,6f747e72-703b-4a1e-b5fa-351496ef0a47,OVERDRAFT_FEE,35.0,162.0,,,2026-09-12T16:39:26.515827
1453c1f5-0087-449b-afc1-099bb6c008af,6f747e72-703b-4a1e-b5fa-351496ef0a47,WITHDRAW,200.0,-38.0,,,2026-09-12T16:39:26.519254
18cd4090-c408-49fd-b2b5-bbdfdca19ecf,6f747e72-703b-4a1e-b5fa-351496ef0a47,DEPOSIT,30.0,-8.0,,,2026-09-12T16:42:40.227576
fcf39643-21ec-4dc3-b81b-fb652d665b7c,6f747e72-703b-4a1e-b5fa-351496ef0a47,DEPOSIT,100.0,92.0,,,2026-09-12T16:44:17.776365
d636bb49-9cb0-4c38-8d55-b8674b61184e,6f747e72-703b-4a1e-b5fa-351496ef0a47,OVERDRAFT_FEE,35.0,57.0,,,2026-09-12T16:44:41.039417
a61ca1a8-400e-4d31-acf6-52272543598a,6f747e72-703b-4a1e-b5fa-351496ef0a47,WITHDRAW,100.0,-43.0,,,2026-09-12T16:44:41.042514
985cdf0a-92d3-40b3-86a4-bd2f1eebde7a,6f747e72-703b-4a1e-b5fa-351496ef0a47,OVERDRAFT_FEE,35.0,-78.0,,,2026-09-12T16:45:39.453393
a500796e-fbef-4ad3-9c0d-c00737f17a54,6f747e72-703b-4a1e-b5fa-351496ef0a47,WITHDRAW,100.0,-178.0,,,2026-09-12T16:45:39.457244
f1c13616-7480-4ef2-8315-aea8a2eb28a6,6f747e72-703b-4a1e-b5fa-351496ef0a47,DEPOSIT,179.0,1.0,,,2026-09-12T16:46:21.172043
09b540c8-e4b3-4375-a50d-c21681c69f1b,6f747e72-703b-4a1e-b5fa-351496ef0a47,OVERDRAFT_FEE,35.0,-34.0,,,2026-09-12T16:46:48.492959
956d76bf-f271-4568-b636-71f3f8ab65ba,6f747e72-703b-4a1e-b5fa-351496ef0a47,WITHDRAW,100.0,-134.0,,,2026-09-12T16:46:48.494209
65fe3e09-21dc-4732-b541-c796e47d961c,6f747e72-703b-4a1e-b5fa-351496ef0a47,OVERDRAFT_FEE,35.0,-169.0,,,2026-09-12T16:47:05.541359
5b868e48-2715-40c5-8b88-d8efe17f721d,6f747e72-703b-4a1e-b5fa-351496ef0a47,WITHDRAW,100.0,-269.0,,,2026-09-12T16:47:05.545636
5c6b7a3a-b414-4cc9-811c-7a8b50b6a54f,6f747e72-703b-4a1e-b5fa-351496ef0a47,DEPOSIT,269.0,0.0,,,2026-09-12T16:47:39.182439
2efec594-e8e8-4564-90d3-04c1a9efa4f4,6f747e72-703b-4a1e-b5fa-351496ef0a47,OVERDRAFT_FEE,35.0,-35.0,,,2026-09-12T16:48:35.876313
3ac42c7d-6376-4bab-9b6f-344f15de9754,6f747e72-703b-4a1e-b5fa-351496ef0a47,WITHDRAW,100.0,-135.0,,,2026-09-12T16:48:35.879797
bb7ce3e2-36a6-4a88-be54-8a290d4b1203,5ff2bf5f-8ee2-4d0e-b97e-4d63e4d76bd2,DEPOSIT,100.0,100.0,,,2026-09-12T16:48:35.880723
