ID,ACCOUNT_ID,CARD_TYPE,CREATED_AT
6d51cd28-378f-4ea7-b713-cc661272814d,c0c6e4fb-f656-4427-b9f0-0d732e76123b,MASTERCARD,2026-09-14T14:16:22.818689
43a069b2-cb5c-4348-ab51-26bd32f94a9e,11608afa-f2c4-4303-92cc-3e4c10467827,MASTERCARD_TITANIUM,2026-09-14T14:26:39.526608
7071679d-20d6-4d26-b1fa-c679b97611a7,84411d1c-0c1f-414c-83de-00965765f5e7,MASTERCARD_PLATINUM,2026-09-14T14:28:01.032768
a57cfa0b-790b-4bc3-bfd1-d38f5e599c0f,cc48ba48-469e-4e4a-bc65-07b9c7576ee7,MASTERCARD_TITANIUM,2026-09-14T14:28:19.103357
5bd0bb86-43fe-4426-95fa-13e422234246,8a78e5dd-77ec-4915-b721-37649709cb82,MASTERCARD,2026-09-14T14:47:11.029241
19a6c76d-b243-4ec2-8b38-522aa3229f58,b60febbb-65cb-49c8-b9f6-f98d16e665dc,MASTERCARD_TITANIUM,2026-09-14T14:47:57.678958
c7965812-5f06-4d38-b6f5-9cd4ccc99824,d0f47c86-2054-4a6b-bd61-cc746d2ea465,MASTERCARD_PLATINUM,2026-09-15T11:18:59.272764
18c9ee04-b713-4681-8068-1d1e39b98ac8,bc36e537-94d2-4aa7-9e4b-d0a30a0c9d6c,MASTERCARD_TITANIUM,2026-09-15T11:18:59.390717
bf63ff56-f20a-4d09-9b09-1b46c691edb6,c8cbbc4e-fd16-49a9-8b00-70e2bb442adc,MASTERCARD,2026-09-15T11:18:59.392397
c2c5b73c-7df6-4afe-b52f-645f508c9f74,814093c3-9214-4bbc-b48f-30cfcb3236f0,MASTERCARD,2026-09-15T11:18:59.393315
