ID,CUSTOMER_ID,ACCOUNT_TYPE,BALANCE,STATUS,OVERDRAFT_COUNT,CREATED_AT
c0c6e4fb-f656-4427-b9f0-0d732e76123b,703a9787-4026-4050-8b25-edd2168677ee,SAVINGS,198844.7,ACTIVE,0,2026-09-14T14:16:22.814766
11608afa-f2c4-4303-92cc-3e4c10467827,703a9787-4026-4050-8b25-edd2168677ee,CHECKING,-1170.0,DISABLED,2,2026-09-14T14:26:39.525358
84411d1c-0c1f-414c-83de-00965765f5e7,38fbe078-fbb4-448d-b40e-2fc3448b9011,SAVINGS,0.0,ACTIVE,0,2026-09-14T14:28:01.031488
cc48ba48-469e-4e4a-bc65-07b9c7576ee7,38fbe078-fbb4-448d-b40e-2fc3448b9011,CHECKING,1100.0,ACTIVE,0,2026-09-14T14:28:19.101942
8a78e5dd-77ec-4915-b721-37649709cb82,bd0c11a6-7083-47c5-8070-d978b4f07161,SAVINGS,3255.3,ACTIVE,0,2026-09-14T14:47:11.026826
b60febbb-65cb-49c8-b9f6-f98d16e665dc,bd0c11a6-7083-47c5-8070-d978b4f07161,CHECKING,0.0,ACTIVE,0,2026-09-14T14:47:57.677318
d0f47c86-2054-4a6b-bd61-cc746d2ea465,f363bf84-4841-40fd-aa9a-0d44e6285987,SAVINGS,75.0,ACTIVE,0,2026-09-15T11:18:59.270729
bc36e537-94d2-4aa7-9e4b-d0a30a0c9d6c,b178d43f-df3a-4c28-91ef-8bd92b9af3a1,CHECKING,25.0,ACTIVE,0,2026-09-15T11:18:59.389891
c8cbbc4e-fd16-49a9-8b00-70e2bb442adc,f363bf84-4841-40fd-aa9a-0d44e6285987,CHECKING,0.0,ACTIVE,0,2026-09-15T11:18:59.392010
814093c3-9214-4bbc-b48f-30cfcb3236f0,b178d43f-df3a-4c28-91ef-8bd92b9af3a1,SAVINGS,0.0,ACTIVE,0,2026-09-15T11:18:59.392866
